WORD 	P+ 	P-
amish		0.000892060660125 	0.000421585160202
versatile		0.00133809099019 	0.000421585160202
lace		0.000446030330062 	0.000843170320405
beware		0.000446030330062 	0.00210792580101
lack		0.000446030330062 	0.000843170320405
results		0.000892060660125 	0.000421585160202
felt		0.000892060660125 	0.000843170320405
four		0.000892060660125 	0.000421585160202
concept		0.000446030330062 	0.000843170320405
skin		0.000446030330062 	0.000843170320405
shot		0.000446030330062 	0.000843170320405
hate		0.000446030330062 	0.00126475548061
children		0.000446030330062 	0.000843170320405
issues		0.000446030330062 	0.00210792580101
poorly		0.000446030330062 	0.00126475548061
compact		0.00133809099019 	0.000843170320405
looking		0.00223015165031 	0.000843170320405
certainly		0.000892060660125 	0.000421585160202
smily		0.000892060660125 	0.000421585160202
lining		0.000446030330062 	0.000843170320405
originality		0.000446030330062 	0.000843170320405
lower		0.000446030330062 	0.000843170320405
charge		0.000446030330062 	0.000843170320405
dissatisfied		0.000446030330062 	0.000843170320405
th		0.000446030330062 	0.000843170320405
stable		0.000446030330062 	0.000843170320405
friendly		0.00133809099019 	0.000421585160202
returned		0.000446030330062 	0.00126475548061
returning		0.000446030330062 	0.000843170320405
very		0.0178412132025 	0.0130691399663
putting		0.000892060660125 	0.000421585160202
additional		0.000892060660125 	0.000843170320405
decide		0.000446030330062 	0.000843170320405
fall		0.00133809099019 	0.000421585160202
awful		0.000446030330062 	0.000843170320405
little		0.00178412132025 	0.00168634064081
condition		0.000892060660125 	0.000421585160202
cool		0.00133809099019 	0.000421585160202
delivery		0.00446030330062 	0.00168634064081
enjoyable		0.000892060660125 	0.000421585160202
receiving		0.000446030330062 	0.000843170320405
impressive		0.00133809099019 	0.000843170320405
made		0.00223015165031 	0.00168634064081
did		0.000446030330062 	0.000843170320405
die		0.000892060660125 	0.000421585160202
button		0.000446030330062 	0.00168634064081
fragile		0.000446030330062 	0.000843170320405
try		0.000892060660125 	0.000421585160202
item		0.000446030330062 	0.00210792580101
engrossing		0.000892060660125 	0.000421585160202
warranties		0.000446030330062 	0.000843170320405
small		0.00133809099019 	0.00463743676223
dip		0.000446030330062 	0.000843170320405
reliable		0.000892060660125 	0.000421585160202
clothes		0.000892060660125 	0.000843170320405
guzzling		0.000446030330062 	0.000843170320405
smaller		0.000446030330062 	0.000843170320405
says		0.000446030330062 	0.000843170320405
regret		0.000892060660125 	0.000421585160202
among		0.000892060660125 	0.000421585160202
obsolete		0.000446030330062 	0.000843170320405
boots		0.000892060660125 	0.000421585160202
elegant		0.00178412132025 	0.000421585160202
